Capital,Pais_ISO,Pais_Nome,Tendencia_5_Anos,Nivel_Liberdade_Mio,Tamanho_Medio_Historico,Duracao_Media_Historica,Principais_Participantes,Principais_Motivações,Resultados_Comuns,Perfil_Risco_Justificativa
Jakarta,IDN,Indonesia,Risco Elevado,Partly free,Thousands,1 day,General public.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta","Cidade: Jakarta (País: Indonesia, Nível Liberdade: Partly free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta."
Tunis,TUN,Tunisia,Risco Baixo,Partly free,Thousands,1 day,General public.,"Econômica, Política","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Tunis (País: Tunisia, Nível Liberdade: Partly free). Tendência: 'Risco Baixo'. Motivações: (Econômica, Política). Participantes: (General public.). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Monrovia,LBR,Liberia,Risco Elevado,Partly Free,Thousands,1 day,"General public, women","Econômica, Política, Corrupção",Outcome Significativo,"Cidade: Monrovia (País: Liberia, Nível Liberdade: Partly Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public, women). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo."
Dhaka,BGD,Bangladesh,Risco Elevado,Partly Free,Tens of thousands,1 day,Anti-Discrimination Student Movement (student protesters),"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Dhaka (País: Bangladesh, Nível Liberdade: Partly Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (Anti-Discrimination Student Movement (student protesters)). Duração: '1 day'. Tamanho: 'Tens of thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Damascus,SYR,Syria,Risco Muito Elevado,Not Free,Hundreds,1 day,General public,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)","Cidade: Damascus (País: Syria, Nível Liberdade: Not Free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m)."
Washington D.C.,USA,United States,Sem Dados,Free,Thousands,1 day,General public,"Econômica, Política, Corrupção",Protesto Grande (>100k),"Cidade: Washington D.C. (País: United States, Nível Liberdade: Free). Tendência: 'Sem Dados'. Motivações: (Econômica, Política, Corrupção). Participantes: (General public). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Protesto Grande (>100k)."
New Delhi,IND,India,Risco Muito Elevado,Partly free,Thousands,1 day,Aam Aadmi Party,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: New Delhi (País: India, Nível Liberdade: Partly free). Tendência: 'Risco Muito Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (Aam Aadmi Party). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Beirut,LBN,Lebanon,Risco Médio,Partly Free,Hundreds,1 day,Family members of those killed in the 2020 Beirut blast.,"Econômica, Política, Corrupção","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Beirut (País: Lebanon, Nível Liberdade: Partly Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Corrupção). Participantes: (Family members of those killed in the 2020 Beirut blast.). Duração: '1 day'. Tamanho: 'Hundreds'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Buenos Aires,ARG,Argentina,Risco Elevado,Free,Thousands,1 day,Fernández de Kirchner's supporters,"Econômica, Política, Corrupção, Gênero","Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)","Cidade: Buenos Aires (País: Argentina, Nível Liberdade: Free). Tendência: 'Risco Elevado'. Motivações: (Econômica, Política, Corrupção, Gênero). Participantes: (Fernández de Kirchner's supporters). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Outcome Significativo, Resposta Gov. Violenta, Protesto Longo (>3m), Protesto Grande (>100k)."
Brasília,BRA,Brazil,Risco Médio,Free,Thousands,1 day,Bolsonaro supporters,"Econômica, Política, Gênero",Não especificado,"Cidade: Brasília (País: Brazil, Nível Liberdade: Free). Tendência: 'Risco Médio'. Motivações: (Econômica, Política, Gênero). Participantes: (Bolsonaro supporters). Duração: '1 day'. Tamanho: 'Thousands'. Resultados comuns: Não especificado."
